Specimen Collection Date,Homelessness Status,New Confirmed Cases,Cumulative Confirmed Cases,Last Updated At
2020/03/31,Homeless,3,5,01/19/2021 02:15:09 PM
2020/04/01,Homeless,0,5,01/19/2021 02:15:09 PM
2020/04/02,Homeless,1,6,01/19/2021 02:15:09 PM
2020/04/03,Homeless,0,6,01/19/2021 02:15:09 PM
2020/04/04,Homeless,1,7,01/19/2021 02:15:09 PM
2020/04/05,Homeless,1,8,01/19/2021 02:15:09 PM
2020/04/06,Homeless,2,10,01/19/2021 02:15:09 PM
2020/04/07,Homeless,8,18,01/19/2021 02:15:09 PM
2020/04/08,Homeless,34,52,01/19/2021 02:15:09 PM
2020/04/09,Homeless,42,94,01/19/2021 02:15:09 PM
2020/04/10,Homeless,2,96,01/19/2021 02:15:09 PM
2020/04/11,Homeless,9,105,01/19/2021 02:15:09 PM
2020/04/12,Homeless,5,110,01/19/2021 02:15:09 PM
2020/04/13,Homeless,2,112,01/19/2021 02:15:09 PM
2020/04/14,Homeless,1,113,01/19/2021 02:15:09 PM
2020/04/15,Homeless,3,116,01/19/2021 02:15:09 PM
2020/04/16,Homeless,1,117,01/19/2021 02:15:09 PM
2020/04/17,Homeless,3,120,01/19/2021 02:15:09 PM
2020/04/18,Homeless,0,120,01/19/2021 02:15:09 PM
2020/04/19,Homeless,3,123,01/19/2021 02:15:09 PM
2020/04/20,Homeless,1,124,01/19/2021 02:15:09 PM
2020/04/21,Homeless,1,125,01/19/2021 02:15:09 PM
2020/04/22,Homeless,1,126,01/19/2021 02:15:09 PM
2020/04/23,Homeless,0,126,01/19/2021 02:15:09 PM
2020/04/24,Homeless,2,128,01/19/2021 02:15:09 PM
2020/04/25,Homeless,0,128,01/19/2021 02:15:09 PM
2020/04/26,Homeless,2,130,01/19/2021 02:15:09 PM
2020/04/27,Homeless,3,133,01/19/2021 02:15:09 PM
2020/04/28,Homeless,2,135,01/19/2021 02:15:09 PM
2020/04/29,Homeless,3,138,01/19/2021 02:15:09 PM
2020/04/30,Homeless,1,139,01/19/2021 02:15:09 PM
2020/05/01,Homeless,1,140,01/19/2021 02:15:09 PM
2020/05/02,Homeless,4,144,01/19/2021 02:15:09 PM
2020/05/03,Homeless,0,144,01/19/2021 02:15:09 PM
2020/05/04,Homeless,2,146,01/19/2021 02:15:09 PM
2020/05/05,Homeless,1,147,01/19/2021 02:15:09 PM
2020/05/06,Homeless,4,151,01/19/2021 02:15:09 PM
2020/05/07,Homeless,0,151,01/19/2021 02:15:09 PM
2020/05/08,Homeless,0,151,01/19/2021 02:15:09 PM
2020/05/09,Homeless,0,151,01/19/2021 02:15:09 PM
2020/05/10,Homeless,0,151,01/19/2021 02:15:09 PM
2020/05/11,Homeless,1,152,01/19/2021 02:15:09 PM
2020/05/12,Homeless,0,152,01/19/2021 02:15:09 PM
2020/05/13,Homeless,0,152,01/19/2021 02:15:09 PM
2020/05/14,Homeless,0,152,01/19/2021 02:15:09 PM
2020/05/15,Homeless,0,152,01/19/2021 02:15:09 PM
2020/05/16,Homeless,0,152,01/19/2021 02:15:09 PM
2020/05/17,Homeless,1,153,01/19/2021 02:15:09 PM
2020/05/18,Homeless,1,154,01/19/2021 02:15:09 PM
2020/05/19,Homeless,1,155,01/19/2021 02:15:09 PM
2020/05/20,Homeless,1,156,01/19/2021 02:15:09 PM
2020/05/21,Homeless,0,156,01/19/2021 02:15:09 PM
2020/05/22,Homeless,0,156,01/19/2021 02:15:09 PM
2020/05/23,Homeless,0,156,01/19/2021 02:15:09 PM
2020/05/24,Homeless,1,157,01/19/2021 02:15:09 PM
2020/05/25,Homeless,0,157,01/19/2021 02:15:09 PM
2020/05/26,Homeless,0,157,01/19/2021 02:15:09 PM
2020/05/27,Homeless,1,158,01/19/2021 02:15:09 PM
2020/05/28,Homeless,0,158,01/19/2021 02:15:09 PM
2020/05/29,Homeless,2,160,01/19/2021 02:15:09 PM
