LocationType,Location,Race,TimeFrame,DataFormat,Data
County,Adams,American Indian and Alaska Native,2005-2009,Currency,"*$7,195"
County,Adams,Asian,2005-2009,Currency,NA
County,Adams,Black,2005-2009,Currency,NA
County,Adams,Hispanic or Latino,2005-2009,Currency,33821
County,Adams,Multiracial,2005-2009,Currency,"*$49,107"
County,Adams,Native Hawaiian and Other Pacific Islander,2005-2009,Currency,NA
County,Adams,White Non-Hispanic,2005-2009,Currency,"*$58,038"
County,Adams,American Indian and Alaska Native,2006-2010,Currency,"*$7,348"
County,Adams,Asian,2006-2010,Currency,41364
County,Adams,Black,2006-2010,Currency,NA
County,Adams,Hispanic or Latino,2006-2010,Currency,33566
County,Adams,Multiracial,2006-2010,Currency,"*$30,625"
County,Adams,Native Hawaiian and Other Pacific Islander,2006-2010,Currency,NA
County,Adams,White Non-Hispanic,2006-2010,Currency,60190
County,Adams,American Indian and Alaska Native,2007-2011,Currency,"*$17,614"
County,Adams,Asian,2007-2011,Currency,"*$41,019"
County,Adams,Black,2007-2011,Currency,NA
County,Adams,Hispanic or Latino,2007-2011,Currency,33391
County,Adams,Multiracial,2007-2011,Currency,"*$48,000"
County,Adams,Native Hawaiian and Other Pacific Islander,2007-2011,Currency,NA
County,Adams,White Non-Hispanic,2007-2011,Currency,"*$58,971"
County,Adams,American Indian and Alaska Native,2008-2012,Currency,6343
County,Adams,Asian,2008-2012,Currency,41010
County,Adams,Black,2008-2012,Currency,NA
County,Adams,Hispanic or Latino,2008-2012,Currency,"*$35,333"
County,Adams,Multiracial,2008-2012,Currency,"*$44,063"
County,Adams,Native Hawaiian and Other Pacific Islander,2008-2012,Currency,NA
County,Adams,White Non-Hispanic,2008-2012,Currency,63472
County,Adams,American Indian and Alaska Native,2009-2013,Currency,"*$6,806"
County,Adams,Asian,2009-2013,Currency,"*$44,231"
County,Adams,Black,2009-2013,Currency,NA
County,Adams,Hispanic or Latino,2009-2013,Currency,"*$37,353"
County,Adams,Multiracial,2009-2013,Currency,"*$52,083"
County,Adams,Native Hawaiian and Other Pacific Islander,2009-2013,Currency,NA
County,Adams,White Non-Hispanic,2009-2013,Currency,66328
County,Adams,American Indian and Alaska Native,2010-2014,Currency,19135
County,Adams,American Indian and Alaska Native,2011-2015,Currency,S
County,Adams,American Indian and Alaska Native,2012-2016,Currency,20804
County,Adams,American Indian and Alaska Native,2013-2017,Currency,23990
County,Adams,Asian,2010-2014,Currency,45000
County,Adams,Asian,2011-2015,Currency,S
County,Adams,Asian,2012-2016,Currency,76146
County,Adams,Asian,2013-2017,Currency,79188
County,Adams,Black,2010-2014,Currency,S
County,Adams,Black,2011-2015,Currency,S
County,Adams,Black,2012-2016,Currency,S
County,Adams,Black,2013-2017,Currency,S
County,Adams,Hispanic or Latino,2010-2014,Currency,37098
County,Adams,Hispanic or Latino,2011-2015,Currency,40685
County,Adams,Hispanic or Latino,2012-2016,Currency,44846
County,Adams,Hispanic or Latino,2013-2017,Currency,43307
County,Adams,Multiracial,2010-2014,Currency,45781
County,Adams,Multiracial,2011-2015,Currency,40685
County,Adams,Multiracial,2012-2016,Currency,S
County,Adams,Multiracial,2013-2017,Currency,S
County,Adams,Native Hawaiian and Other Pacific Islander,2010-2014,Currency,S
County,Adams,Native Hawaiian and Other Pacific Islander,2011-2015,Currency,S
County,Adams,Native Hawaiian and Other Pacific Islander,2012-2016,Currency,S
County,Adams,Native Hawaiian and Other Pacific Islander,2013-2017,Currency,S
County,Adams,White Non-Hispanic,2010-2014,Currency,63006
County,Adams,White Non-Hispanic,2011-2015,Currency,63325
County,Adams,White Non-Hispanic,2012-2016,Currency,65452
County,Adams,White Non-Hispanic,2013-2017,Currency,67432
County,Adams,American Indian and Alaska Native,2014-2018,Currency,24971
County,Adams,Asian,2014-2018,Currency,78750
County,Adams,Black,2014-2018,Currency,NA
County,Adams,Hispanic or Latino,2014-2018,Currency,42366
County,Adams,Multiracial,2014-2018,Currency,NA
County,Adams,Native Hawaiian and Other Pacific Islander,2014-2018,Currency,NA
County,Adams,White Non-Hispanic,2014-2018,Currency,68075
County,Adams,American Indian and Alaska Native,2015-2019,Currency,24656
County,Adams,Asian,2015-2019,Currency,NA
County,Adams,Black,2015-2019,Currency,NA
County,Adams,Hispanic or Latino,2015-2019,Currency,42615
County,Adams,Multiracial,2015-2019,Currency,NA
County,Adams,Native Hawaiian and Other Pacific Islander,2015-2019,Currency,NA
County,Adams,White Non-Hispanic,2015-2019,Currency,70990
County,Asotin,American Indian and Alaska Native,2005-2009,Currency,"*$27,344"
County,Asotin,Asian,2005-2009,Currency,NA
County,Asotin,Black,2005-2009,Currency,NA
County,Asotin,Hispanic or Latino,2005-2009,Currency,"*$45,893"
County,Asotin,Multiracial,2005-2009,Currency,"*$43,750"
County,Asotin,Native Hawaiian and Other Pacific Islander,2005-2009,Currency,NA
County,Asotin,White Non-Hispanic,2005-2009,Currency,52605
County,Asotin,American Indian and Alaska Native,2006-2010,Currency,"*$26,736"
County,Asotin,Asian,2006-2010,Currency,NA
County,Asotin,Black,2006-2010,Currency,NA
County,Asotin,Hispanic or Latino,2006-2010,Currency,"*$47,125"
County,Asotin,Multiracial,2006-2010,Currency,"*$40,227"
County,Asotin,Native Hawaiian and Other Pacific Islander,2006-2010,Currency,NA
County,Asotin,White Non-Hispanic,2006-2010,Currency,53188
County,Asotin,American Indian and Alaska Native,2007-2011,Currency,"*$26,944"
County,Asotin,Asian,2007-2011,Currency,NA
County,Asotin,Black,2007-2011,Currency,NA
County,Asotin,Hispanic or Latino,2007-2011,Currency,"*$24,674"
County,Asotin,Multiracial,2007-2011,Currency,"*$33,015"
County,Asotin,Native Hawaiian and Other Pacific Islander,2007-2011,Currency,2499
County,Asotin,White Non-Hispanic,2007-2011,Currency,54353
County,Asotin,American Indian and Alaska Native,2008-2012,Currency,"*$25,909"
County,Asotin,Asian,2008-2012,Currency,"*$110,179"
County,Asotin,Black,2008-2012,Currency,NA
County,Asotin,Hispanic or Latino,2008-2012,Currency,"*$23,750"
County,Asotin,Multiracial,2008-2012,Currency,"*$34,792"
County,Asotin,Native Hawaiian and Other Pacific Islander,2008-2012,Currency,"*$04,028"
County,Asotin,White Non-Hispanic,2008-2012,Currency,54538
County,Asotin,American Indian and Alaska Native,2009-2013,Currency,NA
County,Asotin,Asian,2009-2013,Currency,98906
County,Asotin,Black,2009-2013,Currency,NA
County,Asotin,Hispanic or Latino,2009-2013,Currency,"*$31,250"
County,Asotin,Multiracial,2009-2013,Currency,"*$35,216"
County,Asotin,Native Hawaiian and Other Pacific Islander,2009-2013,Currency,NA
County,Asotin,White Non-Hispanic,2009-2013,Currency,56594
County,Asotin,American Indian and Alaska Native,2010-2014,Currency,S
County,Asotin,American Indian and Alaska Native,2011-2015,Currency,S
County,Asotin,American Indian and Alaska Native,2012-2016,Currency,S
County,Asotin,American Indian and Alaska Native,2013-2017,Currency,S
County,Asotin,Asian,2010-2014,Currency,101467
County,Asotin,Asian,2011-2015,Currency,102167
County,Asotin,Asian,2012-2016,Currency,102333
County,Asotin,Asian,2013-2017,Currency,110417
County,Asotin,Black,2010-2014,Currency,S
County,Asotin,Black,2011-2015,Currency,S
County,Asotin,Black,2012-2016,Currency,S
County,Asotin,Black,2013-2017,Currency,S
County,Asotin,Hispanic or Latino,2010-2014,Currency,24000
County,Asotin,Hispanic or Latino,2011-2015,Currency,S
County,Asotin,Hispanic or Latino,2012-2016,Currency,S
County,Asotin,Hispanic or Latino,2013-2017,Currency,S
County,Asotin,Multiracial,2010-2014,Currency,44375
County,Asotin,Multiracial,2011-2015,Currency,S
County,Asotin,Multiracial,2012-2016,Currency,60625
County,Asotin,Multiracial,2013-2017,Currency,S
County,Asotin,Native Hawaiian and Other Pacific Islander,2010-2014,Currency,S
County,Asotin,Native Hawaiian and Other Pacific Islander,2011-2015,Currency,S
County,Asotin,Native Hawaiian and Other Pacific Islander,2012-2016,Currency,S
County,Asotin,Native Hawaiian and Other Pacific Islander,2013-2017,Currency,S
County,Asotin,White Non-Hispanic,2010-2014,Currency,52138
County,Asotin,White Non-Hispanic,2011-2015,Currency,54900
County,Asotin,White Non-Hispanic,2012-2016,Currency,58277
County,Asotin,White Non-Hispanic,2013-2017,Currency,60717
County,Asotin,American Indian and Alaska Native,2014-2018,Currency,NA
County,Asotin,Asian,2014-2018,Currency,180125
County,Asotin,Black,2014-2018,Currency,NA
County,Asotin,Hispanic or Latino,2014-2018,Currency,21932
County,Asotin,Multiracial,2014-2018,Currency,NA
County,Asotin,Native Hawaiian and Other Pacific Islander,2014-2018,Currency,NA
County,Asotin,White Non-Hispanic,2014-2018,Currency,62687
County,Asotin,American Indian and Alaska Native,2015-2019,Currency,NA
County,Asotin,Asian,2015-2019,Currency,NA
County,Asotin,Black,2015-2019,Currency,NA
County,Asotin,Hispanic or Latino,2015-2019,Currency,28581
County,Asotin,Multiracial,2015-2019,Currency,38750
County,Asotin,Native Hawaiian and Other Pacific Islander,2015-2019,Currency,NA
County,Asotin,White Non-Hispanic,2015-2019,Currency,70095
County,Benton,American Indian and Alaska Native,2005-2009,Currency,"*$54,219"
County,Benton,Asian,2005-2009,Currency,86114
County,Benton,Black,2005-2009,Currency,"*$84,511"
County,Benton,Hispanic or Latino,2005-2009,Currency,34988
County,Benton,Multiracial,2005-2009,Currency,"*$62,784"
